diff_time,water_level,humd_1,humd_2,humd_3,humd_4,humd_5,humd_6,humd_7,humd_8,humd_9
301,2.58929,98.19464,103.65729,99.65948,91.90039,92.7854,91.83936,98.48456,104.58044,91.19086
299,2.49286,98.19464,103.65729,99.59845,91.90039,92.7854,91.83936,98.33197,104.58044,91.22137
300,2.46071,98.16412,103.65729,99.52979,91.90039,92.7854,91.78595,98.17938,104.58044,91.22137
299,2.60536,98.13361,103.65729,99.52979,91.90039,92.7854,91.78595,98.11835,104.48889,91.19849
299,2.58929,98.13361,103.65729,99.44586,91.92328,92.7854,91.78595,97.86658,104.48889,91.25189
301,2.57321,98.09546,103.65729,99.44586,91.92328,92.7854,91.78595,97.72162,104.42786,91.28241
303,2.58929,98.09546,103.65729,99.44586,91.92328,92.7854,91.78595,97.56903,104.39734,91.31293
298,2.58929,98.06494,103.65729,99.44586,91.92328,92.7854,91.78595,97.28674,104.03113,91.26715
303,2.58929,97.98102,103.65729,99.47638,91.92328,92.7854,91.81647,97.0426,104.00061,91.26715
297,2.62143,97.91998,103.65729,99.47638,91.92328,92.81592,91.81647,96.85187,103.97009,91.29004
299,2.68571,97.85895,103.65729,99.47638,91.8775,92.81592,91.81647,96.76794,103.90906,91.29004
298,2.68571,97.85895,103.65729,99.5069,91.8775,92.81592,91.81647,96.70691,103.78699,91.26715
300,2.71786,97.82843,103.65729,99.45349,91.8775,92.81592,91.81647,96.51617,103.72595,91.29767
301,2.71786,97.82843,103.65729,99.45349,91.90039,92.81592,91.81647,95.98975,103.66492,91.32819
300,2.78214,97.82843,103.65729,99.48401,91.90039,92.81592,91.84698,95.93634,103.35211,91.3053
300,2.75,97.79791,103.65729,99.48401,91.90039,92.81592,91.84698,95.93634,103.19952,91.32819
301,2.75,97.7674,103.62677,99.54504,91.90039,92.81592,91.84698,95.84479,103.07745,91.32819
310,2.73393,97.60718,103.62677,99.54504,91.90039,92.81592,91.84698,95.84479,102.94775,91.3587
289,2.81429,97.44696,103.62677,99.51453,91.90039,92.81592,91.8241,95.85242,102.8562,91.38922
301,2.79821,95.91345,103.56573,99.51453,91.90039,92.81592,91.8241,95.79138,102.76465,91.36633
299,2.76607,95.91345,103.56573,99.55267,91.90039,92.81592,91.8241,95.79138,102.64258,91.36633
300,2.79821,95.91345,103.56573,99.58319,91.90039,92.81592,91.8241,95.79138,102.58154,91.38922
301,2.79821,95.91345,103.56573,99.61371,91.90039,92.81592,91.8241,95.79138,102.45947,91.41974
302,2.84643,95.91345,103.56573,99.61371,91.90039,92.81592,91.84698,95.76086,102.21533,91.36633
299,2.89464,95.91345,103.59625,99.64423,91.90039,92.81592,91.84698,95.76086,102.08563,91.39685
340,2.81429,95.91345,103.59625,99.67474,91.93091,73.39148,91.84698,95.70746,102.0246,91.39685
309,2.91071,95.91345,103.59625,99.65186,91.90039,14.26367,91.8775,95.64642,101.94067,91.42737
255,2.89464,95.91345,103.59625,99.68237,91.93091,74.10101,91.8775,95.18103,101.72705,91.45026
448,2.79821,95.91345,103.59625,99.74341,91.93091,74.22308,91.83173,95.15051,101.66602,91.45026
367,2.92679,95.91345,103.59625,99.77393,91.93091,74.22308,91.83173,95.08948,101.59735,91.39685
92,2.92679,95.91345,103.59625,99.81207,91.93091,74.03998,91.83173,95.08948,101.59735,91.39685
300,4.38929,95.67694,104.29053,97.5614,92.27423,93.09058,92.19794,94.81482,96.07367,91.8241
302,4.48571,95.67694,104.26001,97.46222,92.27423,93.09058,92.19794,94.76141,96.07367,91.8241
302,4.45357,95.70746,104.22949,97.40118,92.27423,93.09058,92.19794,94.76141,96.07367,91.8241
297,4.4375,95.70746,104.19897,97.34015,92.27423,93.12109,92.19794,94.76141,96.04315,91.8241
299,4.56607,95.70746,104.16846,97.21808,92.27423,93.12109,92.19794,94.76141,96.04315,91.8241
300,4.63036,95.70746,104.13794,97.18756,92.27423,93.12109,92.19794,94.76141,96.04315,91.8241
300,4.63036,95.70746,104.10742,97.21045,92.27423,93.12109,92.19794,94.76141,96.04315,91.8241
302,4.61429,95.73798,104.0769,97.14178,92.27423,93.12109,92.22083,94.76141,96.04315,91.8241
298,4.64643,95.70746,104.04639,97.11127,92.29712,93.12109,92.22083,94.76141,96.07367,91.85461
304,4.61429,95.73798,104.04639,97.05023,92.25134,93.12109,92.22083,94.76141,96.07367,91.85461
297,4.71071,95.70746,104.01587,97.01971,92.25134,93.12109,92.22083,94.7309,96.07367,91.85461
302,4.61429,95.73798,103.98535,96.89764,92.25134,93.12109,92.22083,94.7309,96.07367,91.85461
298,4.6625,95.73798,103.98535,95.34125,92.25134,93.12109,92.22083,94.70038,96.07367,91.85461
300,4.74286,95.73798,103.95483,95.31073,92.25134,93.14398,92.22083,94.66986,96.04315,91.85461
303,4.75893,95.73798,103.95483,95.28021,92.25134,93.12109,92.19031,94.6012,96.07367,91.85461
298,4.71071,95.73798,103.95483,94.83771,92.25134,93.14398,92.19031,94.57068,96.07367,91.85461
305,4.71071,95.73798,103.95483,94.70801,92.25134,93.14398,92.19031,94.54016,96.04315,91.85461
297,4.75893,95.73798,103.95483,94.61646,92.25134,93.14398,92.19031,94.54016,96.04315,91.85461
296,4.80714,95.73798,103.95483,94.58594,92.25134,93.14398,92.19031,94.44098,96.04315,91.85461
301,4.72679,95.73798,103.92432,94.37231,92.27423,93.14398,92.24371,94.34943,96.10419,91.85461
303,4.75893,95.73798,103.85565,94.3418,92.27423,93.14398,92.24371,94.25787,96.10419,91.8241
296,4.87143,95.73798,103.82513,94.25024,92.27423,93.14398,92.24371,94.16632,96.10419,91.8241
303,4.82321,95.73798,103.79462,94.21973,92.27423,93.14398,92.24371,94.01373,96.10419,91.8241
300,4.72679,95.73798,103.79462,94.24261,92.27423,93.14398,92.24371,93.39575,96.10419,91.8241
299,4.90357,95.73798,103.7641,94.18921,92.27423,93.14398,92.2132,93.33472,96.10419,91.8241
298,4.91964,95.73798,103.73358,94.02136,92.27423,93.14398,92.2132,93.33472,96.10419,91.8775
301,4.93571,95.73798,103.70306,93.85352,92.27423,93.14398,92.2132,93.33472,96.10419,91.8775
298,4.8875,95.70746,103.67255,93.823,92.27423,93.1745,92.2132,93.3042,96.10419,91.8775
302,4.95179,95.70746,103.61151,93.79248,92.27423,93.1745,92.2132,93.33472,96.10419,91.8775
300,5,95.70746,103.55048,93.76196,92.27423,93.1745,92.2132,93.36523,96.10419,91.8775
301,4.85536,95.70746,103.51996,93.79248,92.27423,93.1745,92.18268,93.33472,96.10419,91.8775
298,5.01689,95.70746,103.45892,93.76196,92.27423,93.1745,92.18268,93.27368,96.10419,91.8775
300,4.90357,95.70746,103.48181,93.73907,92.27423,93.1745,92.23608,93.21265,96.07367,91.8775
303,5.01689,95.70746,103.45129,93.70856,92.27423,93.1745,92.23608,93.18213,96.07367,91.8775
297,4.96786,95.67694,103.45129,93.67804,92.27423,93.1745,92.23608,93.15924,96.07367,91.85461
300,4.98393,95.67694,103.42078,93.64752,92.27423,93.1745,92.23608,93.01428,96.09656,91.85461
300,4.98393,95.67694,103.39026,93.64752,92.27423,93.1745,92.20557,92.87695,96.09656,91.8775
299,5,95.67694,103.35974,93.617,92.27423,93.1745,92.20557,92.76251,96.06604,91.8775
302,5.10135,95.67694,103.35974,93.58649,92.27423,93.1745,92.23608,92.67096,96.05078,91.81647
298,5.05068,95.52435,103.32922,93.5636,92.33527,93.1745,92.24371,92.68622,96.005,91.80121
300,5.15203,95.50146,103.23767,93.39575,92.28186,93.15161,92.22083,92.7854,96.02789,91.80884
300,5.18581,95.5625,103.23767,93.36523,92.30475,93.15161,92.24371,92.95325,95.99738,91.78595
301,5.25338,95.53961,103.17664,93.3576,92.31238,93.18213,92.24371,93.03717,96.05078,91.81647
299,5.40541,95.53961,103.1156,93.07532,92.31238,93.12872,92.24371,93.14398,95.99738,91.79358
301,5.47297,95.51672,103.08508,93.0448,92.31238,93.18213,92.24371,93.20502,95.99738,91.79358
303,5.38851,95.51672,103.05457,93.0448,92.31238,93.18213,92.24371,93.28894,96.02789,91.77069
296,5.32095,95.54724,103.02405,93.0448,92.31238,93.18213,92.24371,93.31946,96.02789,91.80121
301,5.28716,95.54724,102.96301,93.01428,92.31238,93.18213,92.22083,93.31183,96.02789,91.80121
299,5.40541,95.51672,102.90198,93.01428,92.31238,93.15161,92.22083,93.34235,96.02789,91.77832
301,5.27027,95.51672,102.81042,92.98376,92.31238,93.15161,92.24371,93.16687,96.02789,91.77832
302,5.30405,95.51672,102.74176,91.229,92.31238,93.15161,92.24371,93.14398,95.97449,91.80121
1369,5.13514,95.58539,102.52814,91.28241,92.30475,93.1745,92.23608,93.59412,95.97449,91.77832
274,5.25338,95.53198,102.4671,91.25189,92.30475,93.15161,92.23608,93.73907,95.92108,91.80884
