diff_time,water_level,humd_1,humd_2,humd_3,humd_4,humd_5,humd_6,humd_7,humd_8,humd_9
300,14.7557,102.07037,102.09326,101.39899,91.06879,92.1369,97.18756,93.34235,91.50366,90.99249
300,14.82085,102.07037,102.09326,101.39899,91.06879,92.1369,97.84369,93.34235,91.50366,91.02301
300,14.78827,102.07037,102.09326,101.4295,91.06879,92.1369,98.41589,93.34235,91.53418,91.02301
300,14.85342,102.07037,102.12378,101.4295,91.06879,92.1369,99.35431,93.34235,91.53418,91.02301
300,14.85342,102.07037,102.12378,101.4295,91.06879,92.1369,99.88837,93.37286,91.54944,91.0459
300,14.77199,102.07037,102.12378,101.46002,91.0993,92.1369,100.26984,93.37286,91.53418,91.0459
301,14.93485,102.00934,102.12378,101.46002,91.0993,92.1369,100.52924,93.37286,91.55707,91.07642
300,14.77199,102.00934,102.12378,101.46002,91.0993,92.15979,100.78101,93.37286,91.55707,91.07642
300,14.78827,102.00934,102.12378,101.46002,91.0993,92.15979,101.56683,93.31946,91.55707,91.03064
299,14.73941,102.00934,102.12378,101.46002,91.0993,92.15979,101.87964,93.25842,91.55707,91.03064
301,14.73941,102.00934,102.12378,101.46002,91.12219,92.15979,102.10089,93.25842,91.55707,91.06116
299,14.78827,102.00934,102.1543,101.49054,91.12219,92.15979,102.26111,93.25842,91.53418,91.06116
300,14.73941,102.00934,102.1543,101.49054,91.07642,92.19031,102.35266,93.25842,91.53418,91.06116
300,14.95114,102.00934,102.1543,101.49054,91.07642,92.19031,102.47473,93.25842,91.53418,91.06116
300,14.80456,102.00934,102.1543,101.49054,91.07642,92.14453,102.5434,93.25842,91.53418,91.06116
301,14.80456,102.04749,102.1543,101.49054,91.07642,92.14453,102.60443,93.25842,91.5647,91.06116
300,14.88599,102.04749,102.18481,101.49054,91.07642,92.14453,102.66547,93.25842,91.5647,91.06116
299,14.82085,102.04749,102.18481,101.49054,91.07642,92.14453,102.69598,93.25842,91.5647,91.06116
300,14.82085,102.04749,102.18481,101.52106,91.07642,92.14453,102.76465,93.25842,91.5647,91.06116
300,14.77199,102.04749,102.18481,101.52106,91.10693,92.16742,102.76465,93.25842,91.5647,91.06116
300,14.85342,102.04749,102.21533,101.52106,91.10693,92.16742,102.76465,93.20502,91.5647,91.08405
300,14.80456,102.04749,102.21533,101.52106,91.10693,92.16742,102.79517,93.20502,91.5647,91.08405
300,14.72313,102.078,102.21533,101.55157,91.10693,92.16742,102.79517,93.20502,91.5647,91.08405
300,14.78827,102.078,102.21533,101.55157,91.13745,92.19794,102.79517,93.20502,91.59521,91.06116
300,14.86971,102.078,102.16193,101.55157,91.13745,92.19794,102.79517,93.20502,91.59521,91.06116
300,14.78827,102.078,102.16193,101.55157,91.13745,92.19794,102.76465,93.20502,91.59521,91.06116
300,14.85342,102.078,102.19244,101.55157,91.13745,92.19794,102.76465,93.23553,91.59521,91.06116
299,14.80456,102.078,102.19244,101.55157,91.13745,92.19794,102.76465,93.23553,91.57233,91.06116
301,14.82085,102.078,102.19244,101.58209,91.13745,92.19794,102.76465,92.58704,91.57233,91.09167
299,14.91857,102.078,102.19244,101.52869,91.13745,92.19794,102.76465,92.58704,91.57233,91.09167
301,14.85342,102.078,102.22296,101.52869,91.13745,92.22845,103.07745,92.58704,91.57233,91.09167
300,14.78827,102.10852,102.22296,101.58972,91.13745,92.22845,103.10797,92.58704,91.57233,91.09167
300,14.85342,102.10852,102.22296,101.58972,91.13745,92.17505,103.10797,92.58704,91.57233,91.09167
300,14.90228,102.10852,102.22296,101.58972,91.13745,92.17505,103.10797,92.58704,91.57233,91.09167
300,14.80456,102.10852,102.22296,101.58972,91.13745,92.20557,103.05457,92.61755,91.57233,91.12219
300,14.95114,102.10852,102.25348,101.62024,91.16034,92.20557,103.08508,92.58704,91.57233,91.12219
299,14.82085,102.04749,102.25348,101.62024,91.16034,92.20557,103.08508,92.61755,91.59521,91.12219
301,14.86971,102.04749,102.25348,101.62024,91.16034,92.20557,103.08508,92.61755,91.57233,91.12219
300,14.80456,102.078,102.25348,101.62024,91.16034,92.20557,103.1156,92.61755,91.59521,91.12219
300,14.86971,102.078,102.25348,101.65076,91.16034,92.23608,103.1156,92.56415,91.57233,91.14508
300,14.80456,102.078,102.284,101.65076,91.16034,92.23608,103.1156,92.56415,91.59521,91.14508
300,14.96743,102.078,102.284,101.59735,91.19086,92.23608,103.1156,92.56415,91.59521,91.14508
300,14.91857,102.078,102.284,101.59735,91.19086,92.23608,103.1156,92.59467,91.62573,91.14508
299,14.78827,102.078,102.284,101.62787,91.13745,92.23608,103.14612,92.59467,91.62573,91.1756
302,14.85342,102.078,102.284,101.62787,91.13745,92.23608,103.14612,92.59467,91.62573,91.12982
298,14.80456,102.078,102.284,101.62787,91.13745,92.23608,103.09271,92.59467,91.62573,91.12982
301,14.86971,102.11615,102.32214,101.62787,91.13745,92.23608,103.09271,92.59467,91.62573,91.12982
299,14.88599,102.11615,102.26111,101.65839,91.13745,92.25897,103.12323,92.61755,91.62573,91.12982
304,14.78827,102.11615,102.26111,101.65839,91.13745,92.25897,103.12323,92.61755,91.62573,91.15271
297,14.93485,102.11615,102.26111,101.65839,91.16797,92.2132,103.12323,92.61755,91.62573,91.15271
300,14.83713,102.11615,102.29163,101.6889,91.16797,92.2132,103.12323,92.61755,91.65625,91.15271
300,14.96743,102.11615,102.29163,101.6889,91.16797,92.2132,103.15375,92.61755,91.65625,91.18323
600,14.83713,102.14667,102.29163,101.62787,91.16797,92.2132,103.09271,92.61755,91.65625,91.18323
300,14.85342,102.14667,102.29163,101.65839,91.16797,92.24371,103.09271,92.61755,91.65625,91.18323
329,14.95114,102.14667,102.29163,101.65839,91.19849,92.24371,103.12323,92.64807,91.65625,91.18323
271,14.86971,102.14667,102.32214,101.65839,91.19849,92.24371,103.12323,92.61755,73.75769,91.18323
299,14.86971,102.14667,102.32214,101.6889,91.19849,92.24371,103.12323,92.64807,91.65625,91.18323
300,14.85342,102.14667,102.32214,101.6889,91.19849,92.24371,103.12323,92.64807,91.65625,91.16034
301,14.88599,102.14667,102.32214,101.6889,91.19849,92.2666,103.16138,92.59467,91.63336,91.16034
299,14.91857,102.17719,102.36029,101.6889,91.19849,92.2666,103.16138,92.59467,91.63336,91.16034
301,14.82085,102.12378,102.36029,101.72705,91.19849,92.2666,103.16138,91.63336,91.63336,91.16034
300,14.90228,102.12378,102.36029,101.72705,91.19849,92.2666,103.19189,91.63336,91.65625,91.16034
299,14.96743,102.12378,102.36029,101.66602,91.14508,92.2666,103.13086,91.63336,91.65625,91.19086
301,14.85342,102.12378,102.36029,101.69653,91.1756,92.29712,103.13086,91.63336,91.68677,91.19086
299,14.95114,102.12378,102.39081,101.69653,91.1756,92.29712,103.13086,91.63336,91.68677,91.19086
301,14.96743,102.12378,102.39081,101.69653,91.1756,92.29712,103.13086,91.63336,91.63336,91.19086
311,14.82085,102.12378,102.39081,101.69653,91.1756,92.29712,103.16138,91.63336,91.63336,91.19086
288,14.91857,102.1543,102.32977,101.73468,91.1756,92.29712,103.16138,91.63336,91.63336,91.19086
300,14.86971,102.1543,102.32977,101.73468,91.23663,92.24371,103.19189,91.66388,91.66388,91.22137
300,14.7557,102.1543,102.36029,101.73468,91.23663,92.27423,103.19189,91.66388,91.66388,91.22137
301,14.90228,102.1543,102.36029,101.73468,91.23663,92.27423,103.19189,91.66388,91.66388,91.22137
301,14.80456,102.1543,102.36029,101.73468,91.23663,92.27423,103.19189,91.66388,91.66388,91.19849
299,14.96743,102.1543,102.36029,101.7652,91.23663,92.27423,103.19189,91.66388,91.66388,91.19849
299,14.86971,102.1543,102.36029,101.7652,91.23663,92.27423,103.16901,91.57996,91.66388,91.19849
303,14.78827,102.18481,102.39081,101.7652,91.23663,92.27423,103.16901,91.57996,91.6944,91.19849
297,14.90228,102.18481,102.39081,101.73468,91.23663,92.30475,103.16901,91.57996,91.66388,91.19849
301,14.91857,102.18481,102.39081,101.73468,91.23663,92.30475,103.16901,91.57996,91.6944,91.19849
299,14.93485,102.18481,102.39081,101.73468,91.23663,92.30475,103.19952,91.57996,91.6944,91.19849
300,14.88599,102.18481,102.39081,101.73468,91.25952,92.30475,103.19952,91.57996,91.6944,91.229
299,14.95114,102.21533,102.42133,101.79572,91.25952,92.30475,103.19952,91.57996,91.6944,91.229
301,14.85342,102.21533,102.42133,101.79572,91.25952,92.30475,103.19952,91.57996,91.6944,91.229
300,14.88599,102.1543,102.42133,101.79572,91.25952,92.32764,103.19952,91.57996,91.6944,91.229
299,14.7557,102.1543,102.42133,101.82623,91.25952,92.28186,103.23004,91.63336,91.6944,91.229
301,14.86971,102.1543,102.45947,101.82623,91.29004,92.28186,103.23004,91.63336,91.6944,91.229
300,14.82085,102.1543,102.45947,101.82623,91.29004,92.28186,103.19952,91.63336,91.6944,91.229
300,14.80456,102.18481,102.45947,101.82623,91.29004,92.28186,103.19952,91.63336,91.6944,91.229
301,14.90228,102.18481,102.45947,101.82623,91.29004,92.31238,103.19952,91.63336,91.6944,91.229
299,14.88599,102.18481,102.39844,101.85675,91.29004,92.31238,103.23004,91.63336,91.6944,91.229
300,14.91857,102.18481,102.42896,101.85675,91.23663,92.31238,103.23004,91.63336,91.6944,91.229
300,14.80456,102.18481,102.42896,101.85675,91.23663,92.31238,103.26056,91.57996,91.6944,91.27478
300,14.82085,102.18481,102.42896,101.85675,91.23663,92.31238,103.26056,91.57996,91.66388,91.24426
300,14.77199,102.18481,102.42896,101.85675,91.26715,92.33527,103.26056,91.57996,91.70966,91.24426
299,14.85342,102.18481,102.42896,101.88727,91.26715,92.33527,103.32922,91.57996,91.70966,91.24426
302,14.83713,102.18481,102.4671,101.88727,91.26715,92.33527,103.32922,91.62573,91.70966,91.24426
298,14.91857,102.18481,102.4671,101.88727,91.26715,92.33527,103.32922,91.62573,91.68677,91.24426
304,14.88599,102.21533,102.4671,101.88727,91.29767,92.33527,103.42078,91.62573,91.68677,91.24426
299,14.83713,102.21533,102.4671,101.88727,91.29767,92.33527,103.42078,91.62573,91.68677,91.26715
297,14.88599,102.21533,102.49762,101.88727,91.29767,92.33527,103.42078,91.60284,91.68677,91.24426
301,14.85342,102.25348,102.49762,101.88727,91.29767,92.33527,103.42078,91.64862,91.70966,91.24426
300,14.85342,102.25348,102.49762,101.88727,91.29767,92.28949,103.42078,91.64862,91.70966,91.25952
303,14.86971,102.25348,102.49762,101.88727,91.29767,92.28949,103.42078,91.62573,91.67914,91.25952
297,14.93485,102.25348,102.49762,101.88727,91.29767,92.28949,103.42078,91.62573,91.67914,91.229
300,14.80456,102.284,102.52814,101.88727,91.29767,92.28949,103.42078,91.62573,91.67914,91.229
299,14.80456,102.22296,102.52814,101.88727,91.29767,92.31238,103.47418,91.67151,91.64862,91.20612
302,14.83713,102.22296,102.52814,101.88727,91.27478,92.31238,103.47418,91.64862,91.70203,91.25189
304,14.86971,102.26111,102.52814,101.88727,91.27478,92.31238,103.44366,91.64862,91.70203,91.25189
295,14.91857,102.26111,102.52814,101.9483,91.27478,92.31238,103.38263,91.64862,91.67151,91.229
300,14.93485,102.29163,102.52814,101.9483,91.27478,92.31238,103.32159,91.64862,91.67151,91.229
300,14.88599,102.29163,102.55865,101.9483,91.27478,92.31238,103.28345,91.64862,91.67151,91.229
300,14.95114,102.29163,102.55865,101.9483,91.27478,92.31238,103.19189,91.64862,91.67151,91.229
299,14.86971,102.32214,102.55865,101.9483,91.27478,92.3429,103.12323,91.64862,91.67151,91.229
300,14.95114,102.32214,102.55865,101.9483,91.3053,92.3429,103.03168,91.6181,91.67151,91.19849
300,14.83713,102.32214,102.55865,101.9483,91.3053,92.3429,102.81042,91.67151,91.6944,91.24426
301,14.95114,102.35266,102.55865,101.9483,91.3053,92.3429,102.74176,91.67151,91.6944,91.21375
300,14.95114,102.38318,102.55865,101.97882,91.3053,92.3429,102.61969,91.67151,91.6944,91.21375
311,14.95114,102.38318,102.55865,101.97882,91.3053,92.3429,102.55865,91.67151,91.66388,91.19086
291,14.83713,102.38318,102.49762,101.97882,91.3053,92.37341,102.52051,91.67151,91.66388,91.21375
297,14.90228,102.4137,102.55865,101.97882,91.3053,92.37341,102.45947,91.67151,91.71729,91.21375
300,14.78827,102.4137,102.49762,101.97882,91.3053,92.37341,102.39081,91.6944,91.68677,91.18323
301,14.91857,102.45184,102.49762,101.94067,91.33582,92.37341,102.29926,91.71729,91.68677,91.06116
299,14.85342,102.45184,102.58917,101.94067,91.33582,92.37341,102.23822,91.71729,91.68677,91.03064
301,14.90228,102.48236,102.49762,102.00171,91.33582,92.37341,102.23059,91.77069,91.70966,91.05353
299,14.83713,102.48236,102.55865,102.00171,91.33582,92.37341,102.16956,91.7478,91.67914,91.00012
300,14.85342,102.51288,102.49762,102.00171,91.33582,92.37341,102.07037,91.71729,91.70203,90.99249
299,14.90228,102.51288,102.49762,101.97119,91.33582,92.37341,102.03986,91.76306,91.67151,90.90857
301,14.85342,102.5434,102.55865,101.97119,91.33582,92.37341,101.94067,91.74017,91.6944,90.90094
300,14.78827,102.5434,102.52814,101.91016,91.33582,92.37341,101.78809,91.74017,91.67151,90.89331
302,14.86971,102.57391,102.52814,101.96356,91.33582,92.37341,101.65839,91.75543,91.68677,90.86279
298,14.86971,102.57391,102.52814,101.93304,91.33582,92.37341,101.58972,91.75543,91.65625,90.80176
