diff_time,water_level,humd_1,humd_2,humd_3,humd_4,humd_5,humd_6,humd_7,humd_8,humd_9
301,29.73494,99.15594,102.99353,102.47473,91.77832,92.73199,91.6944,96.48566,91.9538,91.64862
300,29.83133,99.15594,102.99353,102.47473,91.77832,92.73199,91.6944,96.46277,91.9538,91.64862
300,29.63855,99.15594,102.99353,102.47473,91.77832,92.73199,91.6944,96.46277,91.97668,91.64862
300,29.81928,99.21698,102.99353,102.47473,91.77832,92.73199,91.6944,96.46277,91.97668,91.64862
301,29.91566,99.21698,102.99353,102.47473,91.77832,92.73199,91.6944,96.46277,91.97668,91.64862
300,30.06154,99.21698,103.04694,102.47473,91.79358,92.73199,91.72491,96.49329,91.97668,91.64862
298,29.83133,99.21698,103.04694,102.47473,91.79358,92.73199,91.72491,96.49329,91.97668,91.63336
300,29.87952,99.21698,103.01642,102.47473,91.77832,92.73199,91.72491,96.49329,91.9538,91.63336
300,29.77108,99.21698,103.04694,102.47473,91.77832,92.73199,91.72491,96.5238,91.9538,91.63336
301,30,99.2475,103.04694,102.47473,91.77832,92.73199,91.72491,96.5238,91.9538,91.65625
300,29.86747,99.2475,103.04694,102.47473,91.77832,92.73199,91.72491,96.4704,91.9538,91.65625
299,29.73494,99.2475,103.04694,102.47473,91.77832,92.77777,91.75543,96.4704,91.98431,91.65625
300,29.80723,99.2475,103.04694,102.47473,91.77832,92.77777,91.70966,96.4704,91.98431,91.65625
300,29.71084,99.2475,103.04694,102.47473,91.78595,92.75488,91.70966,96.50092,91.98431,91.68677
300,29.78313,99.2475,103.04694,102.47473,91.79358,92.75488,91.70966,96.50092,91.98431,91.68677
302,29.68675,99.2475,103.01642,102.47473,91.7478,92.75488,91.70966,96.50092,91.98431,91.68677
298,29.62651,99.2475,102.96301,102.47473,91.77832,92.75488,91.76306,96.50092,91.98431,91.71729
300,30,99.2475,103.01642,102.47473,91.7478,92.75488,91.76306,96.50092,91.98431,91.71729
300,29.96386,99.27802,103.01642,102.47473,91.7478,92.75488,91.76306,96.50092,91.98431,91.66388
302,29.91566,99.2475,103.01642,102.47473,91.7478,92.75488,91.76306,96.50092,92.01483,91.66388
298,29.86747,99.27802,103.01642,102.47473,91.7478,92.75488,91.79358,96.53143,91.96143,91.66388
300,29.91566,99.27802,103.01642,102.47473,91.79358,92.75488,91.79358,96.53143,91.96143,91.6944
301,29.96386,99.27802,103.01642,102.47473,91.79358,92.75488,91.79358,96.53143,91.96143,91.6944
299,29.96386,99.27802,103.01642,102.47473,91.79358,92.75488,91.74017,96.53143,91.96143,91.6944
300,29.84337,99.27802,103.01642,102.47473,91.79358,92.75488,91.77069,96.56958,91.96143,91.72491
300,29.78313,99.27802,102.96301,102.47473,91.79358,92.75488,91.77069,96.56958,91.99194,91.72491
300,29.78313,99.27802,102.96301,102.47473,91.79358,92.75488,91.77069,96.50854,91.99194,91.72491
300,29.86747,99.27802,102.96301,102.47473,91.79358,92.75488,91.77069,96.50854,91.99194,91.72491
303,29.75904,99.27802,102.96301,102.47473,91.79358,92.75488,91.80121,96.50854,91.99194,91.72491
